,Unnamed: 0,region,city,address,id,pic_url,name,category,link,price,all_prices,name_shop
12,12,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3440426,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/549/48oo3l1gwz2800samxsl34nir4dlfrfr/261_225_1/portvein_tashkent_2405202.jpg,"Вино ликерное Портвейн Ташкент красный
Узбекистан, 0.75 л., 16%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_likernoe_portveyn_tashkent_krasnyy/,299.99 ₽,299.99 ₽; ,КБ
13,13,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3440425,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/377/v0aq72ewzjpwl5o6f3055bkb3xsxf7ty/261_225_1/portvein_chashma_2405202.jpg,"Вино ликерное Портвейн Чашма белый
Узбекистан, 0.75 л., 16%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_likernoe_portveyn_chashma_belyy/,299.99 ₽,299.99 ₽; ,КБ
14,14,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3581252,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/b64/l5c1yloj29ip6t5albp8746z9dir2q5o/261_225_1/engelshein_030823.jpg,"Вино Энгельшайн Либлих белое полусладкое
Германия, 0.75 л., 9.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_engelshayn_liblikh_beloe_polusladkoe/,349.99 ₽,349.99 ₽; ,КБ
15,15,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3618494,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/bfe/e6wnkwoty88xmw2onht1tfp2x08x73n3/261_225_1/pirosmani_01122022.jpg,"Вино Пиросмани Кахури Гвинис Марани белое полусухое
Грузия, 0.75 л., Кахети, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_pirosmani_kakhuri_gvinis_marani_beloe_polusukhoe/,349.99 ₽,349.99 ₽; ,КБ
16,16,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3734172,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/164/gx2cdg3u8ui3ty6r6e2djan2zpgchknc/261_225_1/vino_grand_amour_white_dry_130423.jpg,"Вино А Мон Гран Амур белое сухое
Франция, 0.75 л., 11%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_a_mon_gran_amur_beloe_sukhoe_/,349.99 ₽,349.99 ₽; ,КБ
17,17,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3734173,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/cad/negcv2htcmbfuppj6j1x5k9moftb7iyx/261_225_1/vino_grand_amour_red_dry_130423.jpg,"Вино А Мон Гран Амур красное сухое
Франция, 0.75 л., 11%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_a_mon_gran_amur_krasnoe_sukhoe/,349.99 ₽,349.99 ₽; ,КБ
18,18,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3599278,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/9e3/1llagc2x5ndnt6j42ov8q7cgez82xaxz/261_225_1/gluhwein_06102022.jpg,"Напиток Глинтвейн сладкий
Германия, 1 л., 8.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/napitok_glintveyn_sladkiy/,359.89 ₽,359.89 ₽; ,КБ
19,19,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3674025,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/3d0/mg4dobdbywp4b92cne36tjebyqdpb9tf/261_225_1/badagoni_red_13102022.jpg,"Вино Алазанская Долина Бадагони красное полусладкое
Грузия, 0.75 л., 10.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_alazanskaya_dolina_badagoni_krasnoe_polusladkoe/,366.99 ₽,366.99 ₽; ,КБ
20,20,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3674026,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/368/251m4m7wzcqrwz4bj9g1lw06cxskxvay/261_225_1/badagoni_white_13102022.jpg,"Вино Бадагони Алазанская Долина белое полусладкое
Грузия, 0.75 л., Кахети, 10.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_alazanskaya_dolina_badagoni_beloe_polusladkoe/,366.99 ₽,366.99 ₽; ,КБ
21,21,Владимирская область,Владимир,"ул. Соколова-Соколенка, 8",3630599,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/97a/dcekoxsutsrdxykpk3vs9gfjl8wsz544/261_225_1/gvinis_marani_cabarnet_14122022.jpg,"Вино Каберне-Саперави Кахури Гвинис Марани красное сухое
Грузия, 0.75 л., Кахети, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_kaberne_saperavi_kakhuri_gvinis_marani_krasnoe_sukhoe/,389.99 ₽,389.99 ₽; ,КБ
