,Unnamed: 0,region,city,address,id,pic_url,name,category,link,price,all_prices,name_shop
12,12,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3121794,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/c62/2do789jakzbrwktp23qfrpwd8xpqcgv4/261_225_1/betaneli_saperavi_140120.jpg,"Вино Бетанели Саперави красное сухое
Грузия, 0.75 л., Кахети, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_saperavi_stol_kr_sukh/,349.99 ₽,349.99 ₽; ,КБ
13,13,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3581252,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/fba/uku26s73uutctn5dqapg2yevvl9mdjd8/261_225_1/engelshein_030823.jpg,"Вино Энгельшайн Либлих белое полусладкое
Германия, 0.75 л., 9.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_engelshayn_liblikh_beloe_polusladkoe/,349.99 ₽,349.99 ₽; ,КБ
14,14,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3734173,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/aec/4b14xx838oyvx6blcdciww0p3kbl2nog/261_225_1/vino_grand_amour_red_dry_130423.jpg,"Вино А Мон Гран Амур красное сухое
Франция, 0.75 л., 11%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_a_mon_gran_amur_krasnoe_sukhoe/,349.99 ₽,349.99 ₽; ,КБ
15,15,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3734172,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/ac6/fe6kmmyqmbhgne7nsg8s593ch6b6crws/261_225_1/vino_grand_amour_white_dry_130423.jpg,"Вино А Мон Гран Амур белое сухое
Франция, 0.75 л., 11%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_a_mon_gran_amur_beloe_sukhoe_/,349.99 ₽,349.99 ₽; ,КБ
16,16,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3674025,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/858/bof2fhpw95x6ikfc7pi1csye464nyfgd/261_225_1/badagoni_red_13102022.jpg,"Вино Алазанская Долина Бадагони красное полусладкое
Грузия, 0.75 л., 10.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_alazanskaya_dolina_badagoni_krasnoe_polusladkoe/,366.99 ₽,366.99 ₽; ,КБ
17,17,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3674026,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/4b1/8153chdw7cy0qbwfiwt8zkufqtgi2dqu/261_225_1/badagoni_white_13102022.jpg,"Вино Бадагони Алазанская Долина белое полусладкое
Грузия, 0.75 л., Кахети, 10.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_alazanskaya_dolina_badagoni_beloe_polusladkoe/,366.99 ₽,366.99 ₽; ,КБ
18,18,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3121797,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/f4f/sqm4znv6laazx527jmwirkwqst888y26/261_225_1/betaneli_zinandali_140120.jpg,"Вино Бетанели Цинандали белое сухое
Грузия, 0.75 л., Кахети, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_tsinandali_zashch_naim_bel_sukh_/,389.90 ₽,389.90 ₽; ,КБ
19,19,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3630599,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/a9a/5fiq0nfteeogrtr7ejvrsovuytb5zmrr/261_225_1/gvinis_marani_cabarnet_14122022.jpg,"Вино Каберне-Саперави Кахури Гвинис Марани красное сухое
Грузия, 0.75 л., Кахети, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_kaberne_saperavi_kakhuri_gvinis_marani_krasnoe_sukhoe/,389.99 ₽,389.99 ₽; ,КБ
20,20,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3236096,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/8ba/5yy1uybzhsxzc7lxhl0jdyjq1ka3s9ui/261_225_1/vimo_lizard_muller_09112021.jpg,"Вино Лизард Мюллер-Тургау белое полусухое
Германия, 0.75 л., Рейнхессен, 11%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_lizard_myuller_turgau_bel_p_sukh/,399.99 ₽,399.99 ₽; ,КБ
21,21,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3425636,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/85d/0wet0tgcu51sl5acpw4ivhwe8id1c33n/261_225_1/bonne_nouvelle_grapefut_21012022.jpg,"Вино безалкогольное Бон Новель грейпфрут розовое полусладкое
Франция, 0.75 л.",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_bezalkogolnoe_bon_novel_greypfrut_rozovoe_polusladkoe/,399.99 ₽,399.99 ₽; ,КБ
