plu,name,image_small,promo.date_begin,promo.date_end,promo.mech,promo.expired_at,prices.price_regular,prices.price_discount,prices.discount,is_new
3054891,4 СЕЗОНА Блюдо ФОНДЮ ЭМЕНТАЛЬ 600г,products/mini_3054891.jpg,2023-09-14,2023-10-04,,2,599.99,424.99,29,False
3274411,МИРАТОРГ Наггетсы куриные с сыром 300г,products/mini_3274411.jpg,2023-09-26,2023-10-02,,0,229.99,139.99,39,False
3388203,ГОР.ШТУЧ.Изд.БЕЛЬМЕШИ гот.мясосод.300г,products/mini_3388203.jpg,2023-09-14,2023-10-04,,2,189.99,129.99,31,False
3416332,ГОР.ШТУЧ.Чебупицца Пепперони 250г,products/mini_3416332.jpg,2023-09-26,2023-10-02,,0,189.99,129.99,31,False
3434303,МИРАТОРГ Кордон блю с сыром/ветчин.405г,products/mini_3434303.jpg,2023-09-14,2023-10-04,,2,279.99,249.99,10,False
3621247,РОС.КОР.Жюльен из курицы с грибами 250г,products/mini_3621247.jpg,2023-09-14,2023-10-04,,2,239.99,159.99,33,False
4060840,ЛОЖКАРЕВЪ Котлеты ПО-ДОМАШ.к.Б зам.400г,products/mini_4060840.jpg,2023-09-26,2023-10-02,Купи от 2 штук по цене 79.99,0,149.99,94.99,36,False
4060844,ЛОЖКАРЕВЪ Котлеты КУРИНЫЕ в пан.зам.400г,products/mini_4060844.jpg,2023-09-14,2023-10-04,,2,147.99,99.99,32,False
4078158,ТВИСТЕР Мини чебуреки с мяс.жар.зам.300г,products/mini_4078158.jpg,2023-09-26,2023-10-02,,0,99.99,79.99,20,False
4190525,ГОР.ШТУЧ.Наггетсы НАГЕТ.СОЧ.КУР.зам.250г,products/mini_4190525.jpg,2023-09-14,2023-10-04,,2,194.99,129.99,33,False
4201709,РЕСТОРИЯ Пицца БАВАРСКАЯ римск.зам.340г,products/mini_4201709.jpg,2023-09-26,2023-10-02,,0,499.99,399.99,20,False
4216524,ZOTMAN Пицца ПЕППЕРОНИ ICE зам.400г,,2023-09-14,2023-10-04,,2,429.99,384.99,10,False
66259,Морож.ФИЛЕВ.ЛАКОМКА пломбир шок/глаз.90г,products/mini_66259.jpg,2023-09-14,2023-10-04,,2,64.99,57.99,10,False
3409412,АЙС-ФИЛИ Морожен.пломб.ван.мдж 12% 450г,products/mini_3409412.jpg,2023-09-14,2023-10-04,,2,299.99,239.99,20,False
3603591,ВОЛОГОД.ПЛОМБ.Морож.пломб.ваф.ст15% 100г,products/mini_3603591.jpg,2023-09-14,2023-10-04,,2,69.99,49.99,28,False
3953305,ВОЛОГОД.ПЛ.Мор.пл.вар.сг.мол.в/ст15%100г,products/mini_3953305.jpg,2023-09-14,2023-10-04,,2,69.99,54.99,21,False
4053680,БЗМЖ САРАФ.Мор.пл.ван.ваф.рож.15% 110г,products/mini_4053680.jpg,2023-09-26,2023-10-02,,0,94.99,74.99,21,False
4069595,ЧИСТ.ЛИН.Мор.пломб.ван.сах.в/рож.12%110г,products/mini_4069595.jpg,2023-09-26,2023-10-02,,0,139.99,104.99,25,False
4279656,LАVELEE Морож.ДИКАЯ ГОЛ.В ЙОГ.эск.5%85мл,,2023-09-26,2023-10-02,,0,169.99,134.99,20,False
3228640,GL.VILLAGE Капуста цветная зам.400г,products/mini_3228640.jpg,2023-09-14,2023-10-04,,2,139.99,99.99,28,False
3377662,VИТАМ.Смесь ИСПАН.С СОУСОМ РИВЕЙРА 400г,products/mini_3377662.jpg,2023-09-14,2023-10-04,,2,209.99,169.99,19,False
3444752,HORTEX Капуста цветная б/зам 400г,products/mini_3444752.jpg,2023-09-14,2023-10-04,,2,149.99,109.99,26,False
4072221,GL.VILLAGE Смесь КАРИБСКАЯ С СОУСОМ 400г,products/mini_4072221.jpg,2023-09-26,2023-10-02,,0,229.99,189.99,17,False
4087708,GL.VILLAGE Малина быcтрозам.300г,products/mini_4087708.jpg,2023-09-14,2023-10-04,,2,229.99,189.99,17,False
3465904,ТЕНДЕР Икра лососевая ж/б 95г,products/mini_3465904.jpg,2023-09-26,2023-10-02,,0,499.99,429.99,14,False
4067246,F.HOUSE Икра трески стерилизованная 185г,products/mini_4067246.jpg,2023-09-14,2023-10-04,,2,134.99,122.99,8,False
4255613,СОК.ОКЕАНА Икра минт.сол.неп.ж/б 120г,,2023-09-26,2023-10-02,,0,79.99,64.99,18,False
3400865,МЕРИД.Палочки КРАБ.д/салата имит.в/у200г,products/mini_3400865.jpg,2023-09-26,2023-10-02,,0,129.99,99.99,23,False
3294613,FISH HOUSE Пресервы мидии в масле 150г,products/mini_3294613.jpg,2023-09-26,2023-10-02,,0,129.99,89.99,30,False
4255354,МЕРИД.Кокт.морск.с краб.пал.сол.в/р 180г,,2023-09-26,2023-10-02,,0,129.99,99.99,23,False
4118408,САН.БР.Масло БУТЕРБРОДНОЕ лососевое 100г,products/mini_4118408.jpg,2023-09-26,2023-10-02,,0,59.99,46.99,21,False
4271830,МИРАМАР Риет горб/трес.соус.тер.100г,,2023-09-26,2023-10-02,,0,129.99,109.99,15,False
3361889,F.HOUSE Филе сельди оригинальное 250г,products/mini_3361889.jpg,2023-09-26,2023-10-02,,0,134.99,109.99,18,False
3361891,F.HOUSE Филе сельди с приправами 250г,products/mini_3361891.jpg,2023-09-26,2023-10-02,,0,134.99,109.99,18,False
3406075,ЗОЛОТ.FISHКА Килька СЕРЕБР.ВОЛНА 180г,products/mini_3406075.jpg,2023-09-26,2023-10-02,,0,89.99,74.99,16,False
3601472,КР.ЦЕНА Форель филе кус.с/с 150г,products/mini_3601472.jpg,2023-09-26,2023-10-02,,0,249.99,219.99,12,False
3671587,3FISH Семга наб.к пиву с/с 130г,products/mini_3671587.jpg,2023-09-26,2023-10-02,,0,99.99,84.99,15,False
4034451,МАТ.Сел.XXL ОТБ.атл.ф/к с/с в/м ст/б260г,products/mini_4034451.jpg,2023-09-14,2023-10-04,,2,209.99,169.99,19,False
4147551,ЗОЛ.FISH.Сельдь ПО-ШВЕД.атл.ф/к асс.300г,products/mini_4147551.jpg,2023-09-26,2023-10-02,,0,159.99,134.99,15,False
3022552,Анчоус Сухогруз 70г,products/mini_3022552.jpg,2023-09-26,2023-10-02,,0,134.99,109.99,18,False
3193121,СУХОГРУЗ Ставридка сушеная 70г,products/mini_3193121.jpg,2023-09-26,2023-10-02,,0,174.99,139.99,20,False
3254422,FISH HOUSE Соломка горбуш.вял.кл.40г,products/mini_3254422.jpg,2023-09-26,2023-10-02,,0,95.49,69.99,26,False
3621748,ОТ РЫБАКОВ Лещ вяленый в/у 300г,products/mini_3621748.jpg,2023-09-26,2023-10-02,,0,129.99,109.99,15,False
4245021,POLAR Треугольники тресковые зам.300г,products/mini_4245021.jpg,2023-09-26,2023-10-02,,0,129.99,99.99,23,False
3492203,VICI Филе ДАЛЬНЕВОСТОЧ.рыбн.панир.300г,products/mini_3492203.jpg,2023-09-26,2023-10-02,,0,269.99,179.99,33,False
3626338,F.HOUSE Треска филе зам.600г,products/mini_3626338.jpg,2023-09-26,2023-10-02,,0,389.99,299.99,23,False
3635799,F.HOUSE Креветки сред.неразд.в панц.500г,products/mini_3635799.jpg,2023-09-26,2023-10-02,,0,499.99,359.99,28,False
3646272,F. HOUSE Морской коктейль зам.400г,products/mini_3646272.jpg,2023-09-26,2023-10-02,,0,239.99,179.99,25,False
3907658,POLAR Форель стейк зам.в/у 500г,products/mini_3907658.jpg,2023-09-14,2023-10-04,,2,799.99,679.99,15,False
3970776,VICI Крев.КОРОЛ.бел.н/р пр.в/м50/70 450г,products/mini_3970776.jpg,2023-09-14,2023-10-04,,2,549.99,319.99,41,False
4152198,ДОБРОФЛ.Фарш минтая зам.520г,products/mini_4152198.jpg,2023-09-14,2023-10-04,,2,219.99,179.99,18,False
4154648,КАП.НОРД Мясо мидий в/м 400г,products/mini_4154648.jpg,2023-09-26,2023-10-02,,0,249.99,169.99,32,False
4244783,КР.ЦЕНА Креветки КОРОЛЕВ.бел.н/р в/м 1кг,products/mini_4244783.jpg,2023-09-26,2023-10-02,,0,599.99,479.99,20,False
4270709,BOREALIS Минт.т/о филе б/кожи зам.400г,,2023-09-26,2023-10-02,,0,286.99,209.99,26,False
3411130,РЫБ.МИЛ.Горбуша кус.косичка х/к в/у 200г,products/mini_3411130.jpg,2023-09-26,2023-10-02,,0,249.99,209.99,16,False
4228794,F.HOUSE Мойва х/к неразд.200г,products/mini_4228794.jpg,2023-09-26,2023-10-02,,0,149.99,99.99,33,False
4283150,EXTRA FISH Рыба мас.ф-кус.с кож.х/к 200г,,2023-09-26,2023-10-02,,0,319.99,269.99,15,False
3986506,TWISTER Картоф.хруст.со вк.смет/лук.150г,products/mini_3986506.jpg,2023-09-26,2023-10-02,,0,109.99,94.99,13,False
3986507,TWISTER Картофель хруст.со вк.краба 150г,products/mini_3986507.jpg,2023-09-26,2023-10-02,,0,109.99,94.99,13,False
4086621,TWISTER Картофель вкус.паприки хр.150г,products/mini_4086621.jpg,2023-09-26,2023-10-02,,0,109.99,94.99,13,False
3500625,ЯБЛОКОВ Чипсы ябл.из кисло-сладких 25г,products/mini_3500625.jpg,2023-09-14,2023-10-04,,2,109.99,79.99,27,False
4061907,TWISTER Карт.вк.бел.гриб.в сл/с хр.150г,products/mini_4061907.jpg,2023-09-26,2023-10-02,,0,109.99,94.99,13,False
4062940,TWISTER Картофель вк.колб.гр.горч.хр150г,products/mini_4062940.jpg,2023-09-26,2023-10-02,,0,109.99,94.99,13,False
3022552,Анчоус Сухогруз 70г,products/mini_3022552.jpg,2023-09-26,2023-10-02,,0,134.99,109.99,18,False
3193121,СУХОГРУЗ Ставридка сушеная 70г,products/mini_3193121.jpg,2023-09-26,2023-10-02,,0,174.99,139.99,20,False
3254422,FISH HOUSE Соломка горбуш.вял.кл.40г,products/mini_3254422.jpg,2023-09-26,2023-10-02,,0,95.49,69.99,26,False
3621748,ОТ РЫБАКОВ Лещ вяленый в/у 300г,products/mini_3621748.jpg,2023-09-26,2023-10-02,,0,129.99,109.99,15,False
3370312,КУЗЯ ЛАК.Палочки КУК.сах.пуд.с/з140г,products/mini_3370312.jpg,2023-09-26,2023-10-02,,0,84.99,49.99,41,False
3922199,УХТЫШКИ Палочки кукурузные сладкие 140г,products/mini_3922199.jpg,2023-09-26,2023-10-02,,0,59.99,42.99,28,False
3348828,Семечки ОТ МАРТИНА белые соленые 100г,products/mini_3348828.jpg,2023-09-26,2023-10-02,,0,71.99,64.99,9,False
3469303,ОТ МАРТИНА Семечки чер.обж.мор.соль 100г,products/mini_3469303.jpg,2023-09-26,2023-10-02,,0,69.99,49.99,28,False
3661124,МАРТИН Сем.ОТ МАРТ.ПОЛ.обж.отб.с/с 150г,products/mini_3661124.jpg,2023-09-14,2023-10-04,,2,122.99,109.99,10,False
4082127,MIXBAR Семена подсолнечника жар.200г,products/mini_4082127.jpg,2023-09-14,2023-10-04,,2,59.99,44.99,25,False
4125073,MIXBAR Ядра семян тыквы Premium 150г,products/mini_4125073.jpg,2023-09-14,2023-10-04,,2,194.99,159.99,17,False
3336645,МАХЕЕВЪ Джем ЧЕРНИЧНЫЙ 300г,products/mini_3336645.jpg,2023-09-14,2023-10-04,,2,129.99,109.99,15,False
3369992,МАХЕЕВЪ Джем Клубничный д/п 300г,products/mini_3369992.jpg,2023-09-14,2023-10-04,,2,129.99,109.99,15,False
3383508,ВАРЕНЬКА Варенье КЛУБНИЧНОЕ ст/б 380г,products/mini_3383508.jpg,2023-09-14,2023-10-04,,2,149.99,124.99,16,False
3383509,ВАРЕНЬКА Варенье АБРИКОСОВОЕ ст/б 380г,products/mini_3383509.jpg,2023-09-14,2023-10-04,,2,149.99,124.99,16,False
3383511,ВАРЕНЬКА Варенье МАЛИНОВОЕ ст/б 380г,products/mini_3383511.jpg,2023-09-14,2023-10-04,,2,209.99,174.99,16,False
3426326,МЕД.КРАЙ Мед РАЗНОТРАВЬЕ натур.цвет.500г,products/mini_3426326.jpg,2023-09-14,2023-10-04,,2,199.99,179.99,10,False
3443586,МАХЕЕВЪ Джем ВИШНЕВЫЙ дой-пак 300г,products/mini_3443586.jpg,2023-09-14,2023-10-04,,2,129.99,109.99,15,False
3662629,К.Д.ПОС.Сироп из топинамб.натур.330г,products/mini_3662629.jpg,2023-09-14,2023-10-04,,2,229.99,189.99,17,False
4038129,МАХЕЕВЪ Топпинг МЯГКАЯ КАРАМЕЛЬ 300г,products/mini_4038129.jpg,2023-09-14,2023-10-04,,2,129.99,109.99,15,False
4177752,ВАРЕНЬКА Варенье черносмородиновое 380г,products/mini_4177752.jpg,2023-09-14,2023-10-04,,2,149.99,124.99,16,False
4269878,КАРАВАН-САРАЙ Халва подсолн.с арах.350г,products/mini_4269878.jpg,2023-09-26,2023-10-02,,0,94.99,79.99,15,False
4087470,КАРАВАН-САРАЙ Вост.слад.ЩЕРБ.мол-ар.250г,products/mini_4087470.jpg,2023-09-14,2023-10-04,,2,69.99,59.99,14,False
3170296,РОТ ФРОНТ Халва с миндалем 250г,products/mini_3170296.jpg,2023-09-14,2023-10-04,,2,239.99,159.99,33,False
4087469,КАРАВАН-САРАЙ Вост.слад.РАХ-ЛУК.ар.300г,products/mini_4087469.jpg,2023-09-14,2023-10-04,,2,99.99,69.99,30,False
4090894,ШАРЛИЗ Халва подсолнечная гл.1кг,products/mini_4090894.jpg,2023-09-14,2023-10-04,,2,339.99,279.99,17,False
4278736,РОТ ФРОНТ Халва глазир.шок.глазурью 370г,,2023-09-14,2023-10-04,,2,399.99,279.99,30,False
10795,ШАРМЭЛЬ Зефир КЛАСС.в шокол250г,products/mini_10795.jpg,2023-09-26,2023-10-02,,0,299.99,249.99,16,False
4086820,ШАРЛИЗ Пастила БЕЛЕВСКАЯ кедр.орех.200г,products/mini_4086820.jpg,2023-09-14,2023-10-04,,2,219.99,189.99,13,False
3406629,ШАРЛИЗ Зефир гл.конд.глаз.ар.ванили 240г,products/mini_3406629.jpg,2023-09-26,2023-10-02,,0,99.99,89.99,10,False
4091389,ШАРЛИЗ Зефир клюквенный 180г,products/mini_4091389.jpg,2023-09-14,2023-10-04,,2,74.99,64.99,13,False
4091390,ШАРЛИЗ Зефир ванильный 180г,products/mini_4091390.jpg,2023-09-14,2023-10-04,,2,74.99,64.99,13,False
4101229,ШАРЛИЗ Зефир бело-розовый 180г,products/mini_4101229.jpg,2023-09-14,2023-10-04,,2,74.99,64.99,13,False
4113957,SBOX.CL.Марм.вк.ап/яб/кл/п/м.под.д/м.10г,products/mini_4113957.jpg,2023-09-14,2023-10-04,,2,198.99,149.99,24,False
4113958,SBOX.CL.Марм.вк.ап/яб/кл/п/м.под.д/д.10г,products/mini_4113958.jpg,2023-09-14,2023-10-04,,2,198.99,149.99,24,False
4121693,CHUPA CHUPS Марм.РОЛ.экст.ап-лим.вк.150г,products/mini_4121693.jpg,2023-09-14,2023-10-04,,2,139.99,99.99,28,False
4122124,CHUPA CHUPS Мармелад ФАН.экст.фр.вк.150г,products/mini_4122124.jpg,2023-09-14,2023-10-04,,2,139.99,99.99,28,False
4152129,ШАРЛИЗ Зефир БЕЛЕВСКИЙ АНТОНОВКА 250г,products/mini_4152129.jpg,2023-09-14,2023-10-04,,2,189.99,159.99,15,False
4152130,ШАРЛИЗ Пастила БЕЛЕВ.КЛАССИЧЕСКАЯ 200г,products/mini_4152130.jpg,2023-09-14,2023-10-04,,2,189.99,159.99,15,False
4239079,ПРАВ.СЛАД.Пастилки сливовые 70г,,2023-09-14,2023-10-04,,2,62.99,52.99,15,False
3626932,7DAYS Круассаны мини с крем.какао 105г,products/mini_3626932.jpg,2023-09-14,2023-10-04,,2,74.99,54.99,26,False
3900907,ШАРЛИЗ Мини круассаны с крем.какао 200г,products/mini_3900907.jpg,2023-09-26,2023-10-02,,0,89.99,79.99,11,False
3900908,ШАРЛИЗ Мини круассаны с крем.вк.ван.200г,products/mini_3900908.jpg,2023-09-26,2023-10-02,,0,89.99,79.99,11,False
3900909,ШАРЛИЗ Мини круасс.с крем.вк.вар.сг.200г,products/mini_3900909.jpg,2023-09-26,2023-10-02,,0,89.99,79.99,11,False
3900912,ШАРЛИЗ Мини круассаны с нач.Клубника200г,products/mini_3900912.jpg,2023-09-26,2023-10-02,,0,89.99,79.99,11,False
4102507,Изд.х/б КРЕМОБОН классический 380г,products/mini_4102507.jpg,2023-09-14,2023-10-04,,2,259.99,189.99,26,False
2157514,Паста NUTELLA ореховая с доб.какао 350г,products/mini_2157514.jpg,2023-09-26,2023-10-02,,0,459.99,329.99,28,False
4113879,MILKA Паста орех.с добавлением какао350г,products/mini_4113879.jpg,2023-09-26,2023-10-02,,0,496.99,369.99,25,False
