,region,city,address,id,pic_url,name,category,link,price,all_prices
13,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3440425,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/5cb/0bqbwinhucodk5dhhs0hoocmh4zx9ko8/261_225_1/portvein_chashma_2405202.jpg,"Вино ликерное Портвейн Чашма белый
Узбекистан, 0.75 л., 16%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_likernoe_portveyn_chashma_belyy/,299.99 ₽,299.99 ₽; 
14,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3440426,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/0b8/id63jefe6pcwfo6lyldryohh87x9yfpq/261_225_1/portvein_tashkent_2405202.jpg,"Вино ликерное Портвейн Ташкент красный
Узбекистан, 0.75 л., 16%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_likernoe_portveyn_tashkent_krasnyy/,299.99 ₽,299.99 ₽; 
15,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3778770,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/bfe/zwnmjie82heskwxurxmdw17v9xbu6ku0/261_225_1/rtvelisi_pirosmani_150623.jpg,"Вино Пиросмани Ртвелиси красное полусухое
Грузия, 0.75 л., Кахети, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_pirosmani_ordin_sort_krasnoe_p_sukh_tm_rtvelisi/,299.99 ₽,299.99 ₽; 
16,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3121791,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/98a/etk2408sxbxm0kven5xehlnthjkt11yc/261_225_1/alazanskaya_dolina_beloe_polusladk_140120.jpg,"Вино Бетанели Алазанская Долина белое полусладкое
Грузия, 0.75 л., 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_alazanskaya_dolina_stol_bel_p_sl/,329.99 ₽,329.99 ₽; 
17,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3760435,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/144/xm5ukax57c5va8q5q0bthqsrz2gzf5uw/261_225_1/rtvelisi_rkatsiteli_150623.jpg,"Вино Ркацители Ртвелиси белое сухое
Грузия, 0.75 л., 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_sortovoe_rkatsiteli_tm_rtvelisi_beloe_sukhoe/,329.99 ₽,329.99 ₽; 
18,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3581252,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/6fa/p9u9sqmi5epr2an3u1cv6pg0jz5lgb9v/261_225_1/engelshein_030823.jpg,"Вино Энгельшайн Либлих белое полусладкое
Германия, 0.75 л., 9.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_engelshayn_liblikh_beloe_polusladkoe/,349.99 ₽,349.99 ₽; 
19,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3618494,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/efb/olacsi4ih73pifjllfzcmq0yh6fx63vu/261_225_1/pirosmani_01122022.jpg,"Вино Пиросмани Кахури Гвинис Марани белое полусухое
Грузия, 0.75 л., Кахети, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_pirosmani_kakhuri_gvinis_marani_beloe_polusukhoe/,349.99 ₽,349.99 ₽; 
20,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3674025,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/590/kulattgry3z4nwrhans1m10sz0dhyuta/261_225_1/badagoni_red_13102022.jpg,"Вино Алазанская Долина Бадагони красное полусладкое
Грузия, 0.75 л., 10.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_alazanskaya_dolina_badagoni_krasnoe_polusladkoe/,366.99 ₽,366.99 ₽; 
21,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3674026,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/055/nuc1icmodifaw6i2x5xsux2s4pq4hek7/261_225_1/badagoni_white_13102022.jpg,"Вино Бадагони Алазанская Долина белое полусладкое
Грузия, 0.75 л., Кахети, 10.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_alazanskaya_dolina_badagoni_beloe_polusladkoe/,366.99 ₽,366.99 ₽; 
22,Владимирская область,Владимир,"ул. Ноябрьская, 8б",3121797,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/224/8p0uwggjfq6z3oleou15iru7h7913c7x/261_225_1/betaneli_zinandali_140120.jpg,"Вино Бетанели Цинандали белое сухое
Грузия, 0.75 л., Кахети, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_tsinandali_zashch_naim_bel_sukh_/,389.90 ₽,389.90 ₽; 
