web-scraper-order,web-scraper-start-url,catecories,catecories-href,product,product-href,name,price,pic_url-src,address,pic_url_slide-src
1698414274-11,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/8777,Моментальная лотерея РУССКОЕ ЛОТО 100,100.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL3dCSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--54f8273d53ca5cc62801dba014dee2aebd927c82/d75fb2ca-c329-11ed-9a29-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414282-12,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/2856,Спортлото 5 из 36,60.00 ₽,,Владим. обл. г.Владимир ул.850-летия д.6,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUliIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4aef34c9dc4667e4069090e240a0471b1ae3fc54/2579603d-31df-11ec-8169-00155d420661.jpeg
1698414290-13,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/9369,Моментальная лотерея РУССКОЕ ЛОТО 50,50.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeXBJSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--28a95ef9678adfc9481e57b6e35eb896d543fc12/48ed6c6d-f304-11ed-9a2d-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414298-14,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/1992,Спортлото 6 из 45,50.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaFFUIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3aabf8961119bdf6f970f5b279dc24a2f9326b97/2579603c-31df-11ec-8169-00155d420661.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414307-15,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/768,Моментальная лотерея МАГИЯ ЗВЕЗД,30.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL1lCSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d9b869531af066f960e561bd9ce7892252eb8a4e/edcd37fc-c32b-11ed-9a29-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414316-16,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/8776,Моментальная лотерея СЧАСТЛИВАЯ КАРТА,25.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL29CSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1b3fb72bb98cdec932e8e17d3a9a6e691c348bbb/848afb78-c329-11ed-9a29-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414325-17,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/723,Моментальная лотерея КАПИТАЛЪ,25.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczhHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--32d46a8ec43ca6e96626d5b2aecf6b18c4c84cd0/2c627473-31df-11ec-8169-00155d420661.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414333-18,https://bristol.ru/catalog,Лотерейные билеты,https://bristol.ru/category/141,,https://bristol.ru/product/680,Моментальная лотерея 777,20.00 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ed0bfe13c44937f1bab16adadb0ef24c7c9824af/2c627472-31df-11ec-8169-00155d420661.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414351-19,https://bristol.ru/catalog,Промтовары,https://bristol.ru/category/143,,https://bristol.ru/product/4929,Cменные кассеты для бритья GILLETTE MACH3 4 ШТ,829.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ2d2IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a1ec5b10088f71fd13840b1e033b0a6611453557/9cb4a9e8-45ec-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414359-20,https://bristol.ru/catalog,Промтовары,https://bristol.ru/category/143,,https://bristol.ru/product/5100,"Капсулы для стирки TIDE COLOR 10Х22,8Г",399.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd2tTSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--78685e08f2b04edf685b81d31cc4665a409eef3d/624967d3-cd6d-11ed-9a2b-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414367-21,https://bristol.ru/catalog,Промтовары,https://bristol.ru/category/143,,https://bristol.ru/product/4121,Шампунь для волос HEAD&SHOULDERS ОСНОВНОЙ УХОД 2В1 400МЛ,329.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd3NTSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8221eae60cf2cb1331b7499f78806f5a067ccd48/f0c06ae9-cd6c-11ed-9a2b-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414375-22,https://bristol.ru/catalog,Промтовары,https://bristol.ru/category/143,,https://bristol.ru/product/8322,Презервативы VIVA УЛЬТРАТОНКИЕ №12,249.99 ₽,,Владим. обл. г.Владимир ул.850-летия д.6,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNXFFSUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d64effbdaea05ba5a8d9551b66977e19a7ea45a5/ff9dfee8-7a17-11ed-9a27-005056011b5d.jpeg
1698414384-23,https://bristol.ru/catalog,Промтовары,https://bristol.ru/category/143,,https://bristol.ru/product/8965,Пена для бритья GILLETTE ДЛЯ ЧУВСТВИТЕЛЬНОЙ КОЖИ 200МЛ,199.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeFFTSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8f6a6c726f9e283c40023d51548cba87a4c7ec56/2c819111-cd6d-11ed-9a2b-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414393-24,https://bristol.ru/catalog,Промтовары,https://bristol.ru/category/143,,https://bristol.ru/product/8285,Салфетки в рулоне ПРОСТО ЧИСТО ДЛЯ СУХОЙ И ВЛАЖНОЙ УБОРКИ 180ШТ,199.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdzVCSUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--428c4d5e4f287cfc2dca055f23b24de86bf143a4/86a6d987-6be5-11ed-9a27-005056011b5d.jpeg,Владим. обл. г.Владимир ул.850-летия д.6,
1698414402-25,https://bristol.ru/catalog,Промтовары,https://bristol.ru/category/143,,https://bristol.ru/product/8307,Элементы питания ТРОФИ ENERGY POWER AAA-10ШТ БЛИСТЕР,199.99 ₽,,Владим. обл. г.Владимир ул.850-летия д.6,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd3hxSUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8bd3b88cff59e638dfea79251f038ce1f1b197db/fa0b229b-746e-11ed-9a27-005056011b5d.jpeg
1698414411-26,https://bristol.ru/catalog,Промтовары,https://bristol.ru/category/143,,https://bristol.ru/product/8306,Элементы питания ТРОФИ ENERGY POWER AA-10ШТ БЛИСТЕР,199.99 ₽,,Владим. обл. г.Владимир ул.850-летия д.6,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd3BxSUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1a460198ecd3d6ee1e1815983d883b99116457f8/7de978b5-746f-11ed-9a27-005056011b5d.jpeg
1698414419-27,https://bristol.ru/catalog,Промтовары,https://bristol.ru/category/143,,https://bristol.ru/product/9118,Презервативы MAXUS УЛЬТРАТОНКИЕ №3,199.99 ₽,,Владим. обл. г.Владимир ул.850-летия д.6,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBODhkSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--7f9973ab2d334fd2f4a641cfcdfb586f737644b7/271e770b-d483-11ed-9a2b-005056011b5d.jpeg
