name,price,address,pic_url,name_shop
Моментальная лотерея МАГИЯ ЗВЕЗД,30.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL1lCSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d9b869531af066f960e561bd9ce7892252eb8a4e/edcd37fc-c32b-11ed-9a29-005056011b5d.jpeg,bristol
Моментальная лотерея СЧАСТЛИВАЯ КАРТА,25.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL29CSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1b3fb72bb98cdec932e8e17d3a9a6e691c348bbb/848afb78-c329-11ed-9a29-005056011b5d.jpeg,bristol
Моментальная лотерея КАПИТАЛЪ,25.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczhHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--32d46a8ec43ca6e96626d5b2aecf6b18c4c84cd0/2c627473-31df-11ec-8169-00155d420661.jpeg,bristol
Моментальная лотерея 777,20.00 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ed0bfe13c44937f1bab16adadb0ef24c7c9824af/2c627472-31df-11ec-8169-00155d420661.jpeg,bristol
"Капсулы для стирки TIDE COLOR 10Х22,8Г",399.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd2tTSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--78685e08f2b04edf685b81d31cc4665a409eef3d/624967d3-cd6d-11ed-9a2b-005056011b5d.jpeg,bristol
Шампунь для волос HEAD&SHOULDERS ОСНОВНОЙ УХОД 2В1 400МЛ,329.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd3NTSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8221eae60cf2cb1331b7499f78806f5a067ccd48/f0c06ae9-cd6c-11ed-9a2b-005056011b5d.jpeg,bristol
Презервативы DUREX INVISIBLE №3,259.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdUFIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a9158ee0b5646694e2bd2ccc1c4e7fa8165a1ee3/61b05dee-45eb-11ec-9a22-005056011b5d.jpeg,bristol
Дезодорант-аэрозоль AXE EXCITE 150МЛ,249.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBM2NXSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--aa82032a1f775488112d92bc2da505c940f7ebb6/8907e1cc-cfd3-11ed-9a2b-005056011b5d.jpeg,bristol
Презервативы VIVA УЛЬТРАТОНКИЕ №12,249.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNXFFSUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d64effbdaea05ba5a8d9551b66977e19a7ea45a5/ff9dfee8-7a17-11ed-9a27-005056011b5d.jpeg,bristol
Гель для душа AXE ANARCHY 230МЛ,219.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNFVXSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8eb07961ebb318e5e3b47732bff5ba5f5cc3e757/8907e1d1-cfd3-11ed-9a2b-005056011b5d.jpeg,bristol
Пена для бритья GILLETTE ДЛЯ ЧУВСТВИТЕЛЬНОЙ КОЖИ 200МЛ,199.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeFFTSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8f6a6c726f9e283c40023d51548cba87a4c7ec56/2c819111-cd6d-11ed-9a2b-005056011b5d.jpeg,bristol
Шампунь CLEAN ОТ CLEAR 2 В 1 ЧИСТОТА И СВЕЖЕСТЬ 365МЛ,199.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBM1VXSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f880fbca8869fb636cab5006c5394002bf845e15/8907e1d0-cfd3-11ed-9a2b-005056011b5d.jpeg,bristol
Салфетки в рулоне ПРОСТО ЧИСТО ДЛЯ СУХОЙ И ВЛАЖНОЙ УБОРКИ 180ШТ,199.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdzVCSUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--428c4d5e4f287cfc2dca055f23b24de86bf143a4/86a6d987-6be5-11ed-9a27-005056011b5d.jpeg,bristol
Элементы питания ТРОФИ ENERGY POWER AA-10ШТ БЛИСТЕР,199.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd3BxSUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1a460198ecd3d6ee1e1815983d883b99116457f8/7de978b5-746f-11ed-9a27-005056011b5d.jpeg,bristol
Презервативы MAXUS УЛЬТРАТОНКИЕ №3,199.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBODhkSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--7f9973ab2d334fd2f4a641cfcdfb586f737644b7/271e770b-d483-11ed-9a2b-005056011b5d.jpeg,bristol
Станки для бритья одноразовые для женщин GILLETTE BLUE II 5ШТ,199.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOWlvSUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--3d060ea4ec45e6d6b7928abfa5227b0a093d1650/1f98fe22-803f-11ed-9a27-005056011b5d.jpeg,bristol
Элементы питания ТРОФИ ENERGY POWER AAA-10ШТ БЛИСТЕР,199.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd3hxSUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8bd3b88cff59e638dfea79251f038ce1f1b197db/fa0b229b-746e-11ed-9a27-005056011b5d.jpeg,bristol
